idService,app,time,action
7,6,300,nop
6,5,300,replicate
5,4,300,replicate
4,3,300,replicate
3,2,300,replicate
2,1,300,replicate
73,1,500,replicate
71,2,500,replicate
69,3,500,replicate
67,4,500,nop
65,5,500,replicate
7,6,500,nop
6,5,500,nop
5,4,500,nop
4,3,500,replicate
3,2,500,replicate
2,1,500,replicate
87,1,700,replicate
85,2,700,replicate
83,3,700,replicate
81,5,700,nop
79,3,700,replicate
77,2,700,nop
75,1,700,replicate
73,1,700,replicate
71,2,700,nop
69,3,700,nop
67,4,700,nop
65,5,700,nop
7,6,700,nop
6,5,700,nop
5,4,700,nop
4,3,700,replicate
3,2,700,nop
2,1,700,nop
101,3,900,replicate
99,1,900,nop
97,1,900,nop
95,3,900,nop
93,3,900,nop
91,2,900,replicate
89,1,900,replicate
87,1,900,replicate
85,2,900,nop
83,3,900,replicate
81,5,900,nop
79,3,900,nop
77,2,900,nop
75,1,900,nop
73,1,900,nop
71,2,900,nop
69,3,900,nop
67,4,900,nop
65,5,900,nop
7,6,900,replicate
6,5,900,nop
5,4,900,replicate
4,3,900,migrate
3,2,900,nop
2,1,900,nop
117,3,1100,nop
115,4,1100,nop
113,6,1100,nop
111,3,1100,nop
109,1,1100,nop
107,1,1100,nop
105,2,1100,nop
103,3,1100,nop
101,3,1100,nop
99,1,1100,nop
97,1,1100,nop
95,3,1100,nop
93,3,1100,nop
91,2,1100,nop
89,1,1100,nop
87,1,1100,nop
85,2,1100,nop
83,3,1100,nop
81,5,1100,nop
79,3,1100,nop
77,2,1100,nop
75,1,1100,nop
73,1,1100,nop
71,2,1100,nop
69,3,1100,nop
67,4,1100,nop
65,5,1100,nop
7,6,1100,nop
6,5,1100,nop
5,4,1100,nop
3,2,1100,nop
2,1,1100,nop
117,3,1300,nop
115,4,1300,nop
113,6,1300,nop
111,3,1300,nop
109,1,1300,nop
107,1,1300,nop
105,2,1300,nop
103,3,1300,nop
101,3,1300,nop
99,1,1300,nop
97,1,1300,nop
95,3,1300,nop
93,3,1300,nop
91,2,1300,nop
89,1,1300,nop
87,1,1300,nop
85,2,1300,nop
83,3,1300,nop
81,5,1300,nop
79,3,1300,nop
77,2,1300,nop
75,1,1300,nop
73,1,1300,nop
71,2,1300,nop
69,3,1300,nop
67,4,1300,nop
65,5,1300,nop
7,6,1300,nop
