time,app,des,tr,ltr,suc
300,5,6,84,40,2.100000
300,3,4,75,5,15.000000
300,6,7,34,40,0.850000
300,1,2,48,5,9.600000
300,4,5,51,40,1.275000
300,2,3,31,5,6.200000
500,5,6,40,40,1.000000
500,3,69,30,5,6.000000
500,3,4,30,5,6.000000
500,4,5,23,40,0.575000
500,6,7,26,40,0.650000
500,2,3,16,5,3.200000
500,1,2,17,5,3.400000
500,1,73,20,5,4.000000
500,5,65,46,40,1.150000
500,4,67,15,40,0.375000
500,2,71,10,5,2.000000
700,2,71,5,5,1.000000
700,3,83,15,5,3.000000
700,3,4,14,5,2.800000
700,2,85,15,5,3.000000
700,3,69,5,5,1.000000
700,3,79,25,5,5.000000
700,6,7,31,40,0.775000
700,4,5,28,40,0.700000
700,4,67,15,40,0.375000
700,2,77,5,5,1.000000
700,1,73,10,5,2.000000
700,5,81,40,40,1.000000
700,5,65,10,40,0.250000
700,1,87,20,5,4.000000
700,5,6,35,40,0.875000
700,1,2,5,5,1.000000
700,2,3,5,5,1.000000
700,1,75,10,5,2.000000
900,2,77,5,5,1.000000
900,3,4,8,5,1.600000
900,5,81,40,40,1.000000
900,1,97,5,5,1.000000
900,3,69,5,5,1.000000
900,3,93,5,5,1.000000
900,2,71,5,5,1.000000
900,1,73,5,5,1.000000
900,5,65,10,40,0.250000
900,2,85,5,5,1.000000
900,3,83,10,5,2.000000
900,1,99,5,5,1.000000
900,3,95,20,5,4.000000
900,4,5,43,40,1.075000
900,6,7,54,40,1.350000
900,3,79,5,5,1.000000
900,1,75,5,5,1.000000
900,5,6,35,40,0.875000
900,4,67,15,40,0.375000
900,3,101,10,5,2.000000
900,1,2,5,5,1.000000
900,1,89,10,5,2.000000
900,2,91,10,5,2.000000
900,1,87,10,5,2.000000
900,2,3,5,5,1.000000
1100,1,109,5,5,1.000000
1100,3,117,5,5,1.000000
1100,6,113,25,40,0.625000
1100,2,71,5,5,1.000000
1100,2,3,5,5,1.000000
1100,2,91,5,5,1.000000
1100,3,79,5,5,1.000000
1100,1,2,5,5,1.000000
1100,6,7,10,40,0.250000
1100,5,65,10,40,0.250000
1100,4,67,15,40,0.375000
1100,3,101,5,5,1.000000
1100,1,87,5,5,1.000000
1100,1,107,5,5,1.000000
1100,1,97,5,5,1.000000
1100,5,81,40,40,1.000000
1100,1,75,5,5,1.000000
1100,4,5,11,40,0.275000
1100,2,77,5,5,1.000000
1100,3,95,20,5,4.000000
1100,3,93,5,5,1.000000
1100,5,6,35,40,0.875000
