time,undeploy,nop,migrate,replicate,none
300,0,3,0,3,0
500,0,3,2,4,0
700,0,6,4,3,0
900,0,11,2,3,0
1100,0,16,3,0,0
1300,0,19,0,0,0
1500,0,19,0,0,0
1700,0,19,0,0,0
1900,0,19,0,0,0
2100,0,17,0,2,0
2300,1,18,2,0,0
2500,0,18,2,0,0
2700,0,18,2,0,0
2900,0,20,0,0,0
3100,0,20,0,0,0
3300,0,20,0,0,0
3500,0,20,0,0,0
3700,0,20,0,0,0
3900,0,20,0,0,0
4100,0,19,0,1,0
4300,1,19,1,0,0
4500,0,20,0,0,0
4700,0,20,0,0,0
4900,0,20,0,0,0
5100,0,20,0,0,0
5300,0,20,0,0,0
5500,0,20,0,0,0
5700,0,20,0,0,0
5900,0,20,0,0,0
6100,0,19,0,1,0
6300,1,19,1,0,0
6500,0,20,0,0,0
6700,0,20,0,0,0
6900,0,20,0,0,0
7100,0,20,0,0,0
7300,0,20,0,0,0
7500,0,20,0,0,0
7700,0,20,0,0,0
7900,0,20,0,0,0
8100,0,20,0,0,0
8300,1,19,0,0,0
8500,0,19,0,0,0
8700,0,19,0,0,0
8900,0,19,0,0,0
9100,0,19,0,0,0
9300,0,19,0,0,0
9500,0,19,0,0,0
9700,0,19,0,0,0
9900,0,19,0,0,0
10100,0,18,0,1,0
10300,1,18,1,0,0
10500,0,18,1,0,0
10700,0,18,1,0,0
10900,0,19,0,0,0
11100,0,19,0,0,0
11300,0,19,0,0,0
11500,0,19,0,0,0
11700,0,19,0,0,0
11900,0,19,0,0,0
12100,0,18,0,1,0
12300,1,18,1,0,0
12500,0,19,0,0,0
12700,0,19,0,0,0
12900,0,19,0,0,0
13100,0,19,0,0,0
13300,0,19,0,0,0
13500,0,19,0,0,0
13700,0,19,0,0,0
13900,0,19,0,0,0
14100,0,17,0,2,0
14300,0,19,2,0,0
14500,0,20,1,0,0
14700,0,20,1,0,0
14900,0,21,0,0,0
15100,0,21,0,0,0
15300,0,21,0,0,0
15500,0,21,0,0,0
15700,0,21,0,0,0
15900,0,21,0,0,0
16100,0,21,0,0,0
16300,1,20,0,0,0
16500,0,20,0,0,0
16700,0,20,0,0,0
16900,0,20,0,0,0
17100,0,20,0,0,0
17300,0,20,0,0,0
17500,0,20,0,0,0
17700,0,20,0,0,0
17900,0,20,0,0,0
18100,0,19,0,1,0
18300,0,20,1,0,0
18500,0,20,1,0,0
18700,0,20,1,0,0
18900,0,21,0,0,0
19100,0,21,0,0,0
19300,0,21,0,0,0
19500,0,21,0,0,0
19700,0,21,0,0,0
19900,0,21,0,0,0
20100,0,21,0,0,0
20300,1,20,0,0,0
20500,0,20,0,0,0
20700,0,20,0,0,0
20900,0,20,0,0,0
21100,0,20,0,0,0
21300,0,20,0,0,0
21500,0,20,0,0,0
21700,0,20,0,0,0
21900,0,20,0,0,0
22100,0,20,0,0,0
22300,0,20,0,0,0
22500,0,20,0,0,0
22700,0,20,0,0,0
22900,0,20,0,0,0
23100,0,20,0,0,0
23300,0,20,0,0,0
23500,0,20,0,0,0
23700,0,20,0,0,0
23900,0,20,0,0,0
24100,0,20,0,0,0
24300,0,20,0,0,0
24500,0,20,0,0,0
24700,0,20,0,0,0
24900,0,20,0,0,0
25100,0,20,0,0,0
25300,0,20,0,0,0
25500,0,20,0,0,0
25700,0,20,0,0,0
25900,0,20,0,0,0
26100,0,20,0,0,0
26300,0,20,0,0,0
26500,0,20,0,0,0
26700,0,20,0,0,0
26900,0,20,0,0,0
27100,0,20,0,0,0
27300,0,20,0,0,0
27500,0,20,0,0,0
27700,0,20,0,0,0
27900,0,20,0,0,0
28100,0,20,0,0,0
28300,0,20,0,0,0
28500,0,20,0,0,0
28700,0,20,0,0,0
28900,0,20,0,0,0
29100,0,20,0,0,0
29300,0,20,0,0,0
29500,0,20,0,0,0
29700,0,20,0,0,0
29900,0,20,0,0,0
30100,0,19,0,1,0
30300,0,20,1,0,0
30500,0,21,0,0,0
30700,0,21,0,0,0
30900,0,21,0,0,0
31100,0,21,0,0,0
31300,0,21,0,0,0
31500,0,21,0,0,0
31700,0,21,0,0,0
31900,0,21,0,0,0
32100,0,21,0,0,0
32300,0,21,0,0,0
32500,0,21,0,0,0
32700,0,21,0,0,0
32900,0,21,0,0,0
33100,0,21,0,0,0
33300,0,21,0,0,0
33500,0,21,0,0,0
33700,0,21,0,0,0
33900,0,21,0,0,0
34100,0,21,0,0,0
34300,1,20,0,0,0
34500,0,20,0,0,0
34700,0,20,0,0,0
34900,0,20,0,0,0
35100,0,20,0,0,0
35300,0,20,0,0,0
35500,0,20,0,0,0
35700,0,20,0,0,0
35900,0,20,0,0,0
36100,0,20,0,0,0
36300,1,19,0,0,0
36500,0,19,0,0,0
36700,0,19,0,0,0
36900,0,19,0,0,0
37100,0,19,0,0,0
37300,0,19,0,0,0
37500,0,19,0,0,0
37700,0,19,0,0,0
37900,0,19,0,0,0
38100,0,19,0,0,0
38300,0,19,0,0,0
38500,0,19,0,0,0
38700,0,19,0,0,0
38900,0,19,0,0,0
39100,0,19,0,0,0
39300,0,19,0,0,0
39500,0,19,0,0,0
39700,0,19,0,0,0
39900,0,19,0,0,0
40100,0,19,0,0,0
40300,0,19,0,0,0
