id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,1,1_01,M.USER.APP.1,6,1,6,0,None,0.33,53.01048399999999,53.34048399999999,40.0,53.01048399999999
2,COMP_M,1,1_01,M.USER.APP.1,7,1,9,0,None,0.33,55.01310499999999,55.34310499999999,40.0,55.01310499999999
3,COMP_M,2,2_01,M.USER.APP.2,8,2,8,0,None,0.33,57.01572599999999,57.345725999999985,40.0,57.01572599999999
4,COMP_M,2,2_01,M.USER.APP.2,9,2,6,0,None,0.33,59.018346999999984,59.34834699999998,40.0,59.018346999999984
5,COMP_M,1,1_01,M.USER.APP.1,6,1,6,0,None,0.33,73.01048400000002,73.34048400000002,60.0,73.01048400000002
6,COMP_M,1,1_01,M.USER.APP.1,7,1,9,0,None,0.33,75.01310500000002,75.34310500000002,60.0,75.01310500000002
7,COMP_M,2,2_01,M.USER.APP.2,8,2,8,0,None,0.33,77.01572600000003,77.34572600000003,60.0,77.01572600000003
8,COMP_M,2,2_01,M.USER.APP.2,9,2,6,0,None,0.33,79.01834700000003,79.34834700000003,60.0,79.01834700000003
9,COMP_M,1,1_01,M.USER.APP.1,6,1,6,0,None,0.33,93.01048400000002,93.34048400000002,80.0,93.01048400000002
10,COMP_M,1,1_01,M.USER.APP.1,7,1,9,0,None,0.33,95.01310500000002,95.34310500000002,80.0,95.01310500000002
11,COMP_M,2,2_01,M.USER.APP.2,8,2,8,0,None,0.33,97.01572600000003,97.34572600000003,80.0,97.01572600000003
12,COMP_M,2,2_01,M.USER.APP.2,9,2,6,0,None,0.33,99.01834700000003,99.34834700000003,80.0,99.01834700000003
13,COMP_M,1,1_01,M.USER.APP.1,6,1,6,0,None,0.33,113.01048400000002,113.34048400000002,100.0,113.01048400000002
14,COMP_M,1,1_01,M.USER.APP.1,7,1,9,0,None,0.33,115.01310500000002,115.34310500000002,100.0,115.01310500000002
15,COMP_M,2,2_01,M.USER.APP.2,8,2,8,0,None,0.33,117.01572600000003,117.34572600000003,100.0,117.01572600000003
16,COMP_M,2,2_01,M.USER.APP.2,9,2,6,0,None,0.33,119.01834700000003,119.34834700000003,100.0,119.01834700000003
17,COMP_M,1,1_01,M.USER.APP.1,6,1,6,0,None,0.33,133.01048400000002,133.34048400000003,120.0,133.01048400000002
18,COMP_M,1,1_01,M.USER.APP.1,7,1,9,0,None,0.33,135.01310500000002,135.34310500000004,120.0,135.01310500000002
19,COMP_M,2,2_01,M.USER.APP.2,8,2,8,0,None,0.33,137.01572600000003,137.34572600000004,120.0,137.01572600000003
20,COMP_M,2,2_01,M.USER.APP.2,9,2,6,0,None,0.33,139.01834700000003,139.34834700000005,120.0,139.01834700000003
21,COMP_M,1,1_01,M.USER.APP.1,6,1,6,0,None,0.33,153.01048400000002,153.34048400000003,140.0,153.01048400000002
22,COMP_M,1,1_01,M.USER.APP.1,7,1,9,0,None,0.33,155.01310500000002,155.34310500000004,140.0,155.01310500000002
23,COMP_M,2,2_01,M.USER.APP.2,8,2,8,0,None,0.33,157.01572600000003,157.34572600000004,140.0,157.01572600000003
24,COMP_M,2,2_01,M.USER.APP.2,9,2,6,0,None,0.33,159.01834700000003,159.34834700000005,140.0,159.01834700000003
25,COMP_M,1,1_01,M.USER.APP.1,6,1,6,0,None,0.33,173.01048400000002,173.34048400000003,160.0,173.01048400000002
26,COMP_M,1,1_01,M.USER.APP.1,7,1,9,0,None,0.33,175.01310500000002,175.34310500000004,160.0,175.01310500000002
27,COMP_M,2,2_01,M.USER.APP.2,8,2,8,0,None,0.33,177.01572600000003,177.34572600000004,160.0,177.01572600000003
28,COMP_M,2,2_01,M.USER.APP.2,9,2,6,0,None,0.33,179.01834700000003,179.34834700000005,160.0,179.01834700000003
29,COMP_M,1,1_01,M.USER.APP.1,6,1,6,0,None,0.33,193.01048400000002,193.34048400000003,180.0,193.01048400000002
30,COMP_M,1,1_01,M.USER.APP.1,7,1,9,0,None,0.33,195.01310500000002,195.34310500000004,180.0,195.01310500000002
31,COMP_M,2,2_01,M.USER.APP.2,8,2,8,0,None,0.33,197.01572600000003,197.34572600000004,180.0,197.01572600000003
32,COMP_M,2,2_01,M.USER.APP.2,9,2,6,0,None,0.33,199.01834700000003,199.34834700000005,180.0,199.01834700000003
33,COMP_M,1,1_01,M.USER.APP.1,6,1,6,0,None,0.33,213.01048400000002,213.34048400000003,200.0,213.01048400000002
34,COMP_M,1,1_01,M.USER.APP.1,7,1,9,0,None,0.33,215.01310500000002,215.34310500000004,200.0,215.01310500000002
35,COMP_M,2,2_01,M.USER.APP.2,8,2,8,0,None,0.33,217.01572600000003,217.34572600000004,200.0,217.01572600000003
36,COMP_M,2,2_01,M.USER.APP.2,9,2,6,0,None,0.33,219.01834700000003,219.34834700000005,200.0,219.01834700000003
37,COMP_M,1,1_01,M.USER.APP.1,6,1,6,0,None,0.33,233.01048400000002,233.34048400000003,220.0,233.01048400000002
38,COMP_M,1,1_01,M.USER.APP.1,7,1,9,0,None,0.33,235.01310500000002,235.34310500000004,220.0,235.01310500000002
39,COMP_M,2,2_01,M.USER.APP.2,8,2,8,0,None,0.33,237.01572600000003,237.34572600000004,220.0,237.01572600000003
40,COMP_M,2,2_01,M.USER.APP.2,9,2,6,0,None,0.33,239.01834700000003,239.34834700000005,220.0,239.01834700000003
41,COMP_M,1,1_01,M.USER.APP.1,6,1,6,0,None,0.33,253.01048400000002,253.34048400000003,240.0,253.01048400000002
42,COMP_M,1,1_01,M.USER.APP.1,7,1,9,0,None,0.33,255.01310500000002,255.34310500000004,240.0,255.01310500000002
43,COMP_M,2,2_01,M.USER.APP.2,8,2,8,0,None,0.33,257.015726,257.34572599999996,240.0,257.015726
44,COMP_M,2,2_01,M.USER.APP.2,9,2,6,0,None,0.33,259.01834699999995,259.34834699999993,240.0,259.01834699999995
45,COMP_M,1,1_01,M.USER.APP.1,6,1,6,0,None,0.33,273.0104839999999,273.3404839999999,260.0,273.0104839999999
46,COMP_M,1,1_01,M.USER.APP.1,7,1,9,0,None,0.33,275.0131049999999,275.34310499999987,260.0,275.0131049999999
47,COMP_M,2,2_01,M.USER.APP.2,8,2,8,0,None,0.33,277.01572599999986,277.34572599999984,260.0,277.01572599999986
48,COMP_M,2,2_01,M.USER.APP.2,9,2,6,0,None,0.33,279.01834699999984,279.3483469999998,260.0,279.01834699999984
49,COMP_M,1,1_01,M.USER.APP.1,6,1,6,0,None,0.33,293.0104839999999,293.3404839999999,280.0,293.0104839999999
50,COMP_M,1,1_01,M.USER.APP.1,7,1,9,0,None,0.33,295.0131049999999,295.34310499999987,280.0,295.0131049999999
51,COMP_M,2,2_01,M.USER.APP.2,8,2,8,0,None,0.33,297.01572599999986,297.34572599999984,280.0,297.01572599999986
52,COMP_M,2,2_01,M.USER.APP.2,9,2,6,0,None,0.33,299.01834699999984,299.3483469999998,280.0,299.01834699999984
53,COMP_M,1,1_01,M.USER.APP.1,6,1,6,0,None,0.33,313.0104839999999,313.3404839999999,300.0,313.0104839999999
54,COMP_M,1,1_01,M.USER.APP.1,7,1,9,0,None,0.33,315.0131049999999,315.34310499999987,300.0,315.0131049999999
