id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,6,3,1,6.002621,M.USER.APP.1,40,2621,0
2,LINK,9,4,1,6.002621,M.USER.APP.1,40,2621,1
3,LINK,8,4,2,6.002621,M.USER.APP.2,40,2621,2
4,LINK,6,3,2,6.002621,M.USER.APP.2,40,2621,3
1,LINK,3,2,1,4.002621,M.USER.APP.1,46.002621,2621,1
2,LINK,4,2,1,4.002621,M.USER.APP.1,46.002621,2621,2
3,LINK,4,2,2,4.002621,M.USER.APP.2,46.002621,2621,3
1,LINK,2,1,1,2.002621,M.USER.APP.1,50.005241999999996,2621,2
2,LINK,2,1,1,2.002621,M.USER.APP.1,50.005241999999996,2621,3
4,LINK,3,2,2,4.002621,M.USER.APP.2,52.005241999999996,2621,3
1,LINK,1,0,1,1.002621,M.USER.APP.1,52.00786299999999,2621,3
3,LINK,2,1,2,2.002621,M.USER.APP.2,54.007863,2621,2
2,LINK,1,0,1,1.002621,M.USER.APP.1,54.01048399999999,2621,2
4,LINK,2,1,2,2.002621,M.USER.APP.2,56.00786299999999,2621,1
3,LINK,1,0,2,1.002621,M.USER.APP.2,56.01310499999999,2621,1
4,LINK,1,0,2,1.002621,M.USER.APP.2,58.01572599999999,2621,0
5,LINK,6,3,1,6.002621,M.USER.APP.1,60,2621,0
6,LINK,9,4,1,6.002621,M.USER.APP.1,60,2621,1
7,LINK,8,4,2,6.002621,M.USER.APP.2,60,2621,2
8,LINK,6,3,2,6.002621,M.USER.APP.2,60,2621,3
5,LINK,3,2,1,4.002621,M.USER.APP.1,66.002621,2621,1
6,LINK,4,2,1,4.002621,M.USER.APP.1,66.002621,2621,2
7,LINK,4,2,2,4.002621,M.USER.APP.2,66.002621,2621,3
5,LINK,2,1,1,2.002621,M.USER.APP.1,70.00524200000001,2621,2
6,LINK,2,1,1,2.002621,M.USER.APP.1,70.00524200000001,2621,3
8,LINK,3,2,2,4.002621,M.USER.APP.2,72.00524200000001,2621,3
5,LINK,1,0,1,1.002621,M.USER.APP.1,72.00786300000001,2621,3
7,LINK,2,1,2,2.002621,M.USER.APP.2,74.00786300000001,2621,2
6,LINK,1,0,1,1.002621,M.USER.APP.1,74.01048400000002,2621,2
8,LINK,2,1,2,2.002621,M.USER.APP.2,76.00786300000001,2621,1
7,LINK,1,0,2,1.002621,M.USER.APP.2,76.01310500000002,2621,1
8,LINK,1,0,2,1.002621,M.USER.APP.2,78.01572600000003,2621,0
